epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,68.6521,0.85593,1.04064,2.76773,1.13646,0.99433,1,0.995,0.88291,0.99433,1,0.995,0.86857,0.56753,0.87254,1.23676,0.8858,0.00055188,0.00055188,0.00055188
33,70.7831,0.98827,1.13064,2.69177,1.30545,0.99465,1,0.995,0.88982,0.99465,1,0.995,0.87592,0.52254,0.87203,1.16477,0.87351,0.000523586,0.000523586,0.000523586
34,72.8831,0.98126,1.08341,2.35359,1.29359,0.99512,1,0.995,0.84644,0.99512,1,0.995,0.85737,0.61473,0.90974,1.08025,0.90431,0.000495291,0.000495291,0.000495291
35,74.9646,0.84663,1.15774,2.08661,1.10091,0.99507,1,0.995,0.85049,0.99507,1,0.995,0.86631,0.62659,0.90679,1.05701,0.913,0.000466997,0.000466997,0.000466997
36,77.1027,0.88719,1.15665,1.99015,1.14001,0.99497,1,0.995,0.83881,0.99497,1,0.995,0.87856,0.58235,0.90675,1.09999,0.87724,0.000438703,0.000438703,0.000438703
37,79.1271,0.85455,1.14833,1.98165,1.14447,0.99495,1,0.995,0.85076,0.99495,1,0.995,0.87966,0.55413,0.88849,1.04053,0.86388,0.000410409,0.000410409,0.000410409
38,81.1848,0.85203,1.15667,2.0783,1.07246,0.99565,1,0.995,0.88143,0.99565,1,0.995,0.87416,0.48263,0.88135,0.86262,0.83495,0.000382115,0.000382115,0.000382115
39,83.2263,0.84877,1.14697,2.00894,1.12276,0.99658,1,0.995,0.88528,0.99658,1,0.995,0.87418,0.50934,0.8748,0.77118,0.84053,0.00035382,0.00035382,0.00035382
40,85.3017,0.83991,1.134,2.08006,1.08718,0.99622,1,0.995,0.86867,0.99622,1,0.995,0.86512,0.56748,0.8566,0.72489,0.86612,0.000325526,0.000325526,0.000325526
41,87.3615,0.86136,0.94386,1.99312,1.12158,0.99588,1,0.995,0.86866,0.99588,1,0.995,0.86881,0.57321,0.84694,0.71326,0.86655,0.000297232,0.000297232,0.000297232
42,89.4223,0.82783,1.02859,1.92968,1.14526,0.99557,1,0.995,0.90447,0.99557,1,0.995,0.88125,0.53263,0.82812,0.67679,0.8482,0.000268938,0.000268938,0.000268938
43,91.4495,0.77804,1.00368,1.90072,1.07718,0.99535,1,0.995,0.90722,0.99535,1,0.995,0.88263,0.52857,0.82857,0.66141,0.8475,0.000240644,0.000240644,0.000240644
44,93.5158,0.73552,1.04997,1.8438,1.02671,0.99513,1,0.995,0.89205,0.99513,1,0.995,0.88925,0.52825,0.84061,0.62701,0.85068,0.000212349,0.000212349,0.000212349
45,95.6717,0.82389,1.00922,1.87074,1.06869,0.99509,1,0.995,0.90718,0.99509,1,0.995,0.90164,0.53666,0.84978,0.60641,0.85358,0.000184055,0.000184055,0.000184055
46,97.842,0.7632,1.15342,1.91921,1.05341,0.9952,1,0.995,0.8962,0.9952,1,0.995,0.89245,0.55926,0.86247,0.572,0.86489,0.000155761,0.000155761,0.000155761
47,99.9134,0.78637,1.06542,1.83468,1.09862,0.99515,1,0.995,0.88978,0.99515,1,0.995,0.89107,0.56439,0.86476,0.56484,0.86594,0.000127467,0.000127467,0.000127467
48,102.049,0.77961,1.05403,1.82705,1.07349,0.99496,1,0.995,0.8852,0.99496,1,0.995,0.8897,0.55042,0.86055,0.55468,0.86271,9.91726e-05,9.91726e-05,9.91726e-05
49,104.172,0.88187,1.07633,2.15848,1.14272,0.99494,1,0.995,0.88519,0.99494,1,0.995,0.88982,0.55227,0.85659,0.55016,0.86244,7.08784e-05,7.08784e-05,7.08784e-05
50,106.4,0.76915,1.04253,1.74073,1.08327,0.99493,1,0.995,0.88519,0.99493,1,0.995,0.88983,0.53796,0.85185,0.55137,0.85896,4.25842e-05,4.25842e-05,4.25842e-05
